GeoFips,GeoName,LineCode,Description,2019
01,Alabama,4,      Food and nonalcoholic beverages purchased for off-premises consumption,12097.9
01,Alabama,5,      Alcoholic beverages purchased for off-premises consumption,1748.4
01,Alabama,7,"    Clothing, footwear, and related services",5263.5
01,Alabama,18,"    Housing, utilities, and fuels",31287.7
01,Alabama,37,    Health,41466.5
01,Alabama,53,    Transportation,17290.5
01,Alabama,54,      Motor vehicles,6882.8
01,Alabama,73,    Recreation,13558.9
01,Alabama,95,    Education,3643.4
01,Alabama,96,      Educational books,6
01,Alabama,97,      Higher education,2574.8
01,Alabama,98,"      Nursery, elementary, and secondary schools",545.3
01,Alabama,99,      Commercial and vocational schools,517.2
01,Alabama,100,    Food services and accommodations,12048.2
01,Alabama,127,      Tobacco,1518.6
02,Alaska,4,      Food and nonalcoholic beverages purchased for off-premises consumption,2291.6
02,Alaska,5,      Alcoholic beverages purchased for off-premises consumption,486.7
02,Alaska,7,"    Clothing, footwear, and related services",717.5
02,Alaska,18,"    Housing, utilities, and fuels",6215.1
02,Alaska,37,    Health,9445.7
02,Alaska,53,    Transportation,3204.8
02,Alaska,54,      Motor vehicles,980.6
02,Alaska,73,    Recreation,3789.4
02,Alaska,95,    Education,699.5
02,Alaska,96,      Educational books,3.9
02,Alaska,97,      Higher education,414.1
02,Alaska,98,"      Nursery, elementary, and secondary schools",157.4
02,Alaska,99,      Commercial and vocational schools,124.1
02,Alaska,100,    Food services and accommodations,2693.3
02,Alaska,127,      Tobacco,347.6
04,Arizona,4,      Food and nonalcoholic beverages purchased for off-premises consumption,17576.9
04,Arizona,5,      Alcoholic beverages purchased for off-premises consumption,3204.6
04,Arizona,7,"    Clothing, footwear, and related services",8062.8
04,Arizona,18,"    Housing, utilities, and fuels",54478.7
04,Arizona,37,    Health,58781.8
04,Arizona,53,    Transportation,30822.7
04,Arizona,54,      Motor vehicles,9999.8
04,Arizona,73,    Recreation,26496.4
04,Arizona,95,    Education,5637.6
04,Arizona,96,      Educational books,40.6
04,Arizona,97,      Higher education,3440.9
04,Arizona,98,"      Nursery, elementary, and secondary schools",668.7
04,Arizona,99,      Commercial and vocational schools,1487.3
04,Arizona,100,    Food services and accommodations,22736.2
04,Arizona,127,      Tobacco,2120.8
05,Arkansas,4,      Food and nonalcoholic beverages purchased for off-premises consumption,6560.3
05,Arkansas,5,      Alcoholic beverages purchased for off-premises consumption,1166.6
05,Arkansas,7,"    Clothing, footwear, and related services",3212.2
05,Arkansas,18,"    Housing, utilities, and fuels",17347
05,Arkansas,37,    Health,24733.6
05,Arkansas,53,    Transportation,10419.5
05,Arkansas,54,      Motor vehicles,3780
05,Arkansas,73,    Recreation,7485.4
05,Arkansas,95,    Education,1941
05,Arkansas,96,      Educational books,30.3
05,Arkansas,97,      Higher education,1332.3
05,Arkansas,98,"      Nursery, elementary, and secondary schools",397.4
05,Arkansas,99,      Commercial and vocational schools,181.1
05,Arkansas,100,    Food services and accommodations,6346
05,Arkansas,127,      Tobacco,999.5
06,California,4,      Food and nonalcoholic beverages purchased for off-premises consumption,109154.2
06,California,5,      Alcoholic beverages purchased for off-premises consumption,18562.4
06,California,7,"    Clothing, footwear, and related services",63015.3
06,California,18,"    Housing, utilities, and fuels",360349
06,California,37,    Health,382332.1
06,California,53,    Transportation,167361.1
06,California,54,      Motor vehicles,42379
06,California,73,    Recreation,185524.1
06,California,95,    Education,42564.3
06,California,96,      Educational books,2001.7
06,California,97,      Higher education,24550.1
06,California,98,"      Nursery, elementary, and secondary schools",6499.3
06,California,99,      Commercial and vocational schools,9513.1
06,California,100,    Food services and accommodations,149250.1
06,California,127,      Tobacco,8154.8
08,Colorado,4,      Food and nonalcoholic beverages purchased for off-premises consumption,17007
08,Colorado,5,      Alcoholic beverages purchased for off-premises consumption,3612.5
08,Colorado,7,"    Clothing, footwear, and related services",7545.7
08,Colorado,18,"    Housing, utilities, and fuels",54895.4
08,Colorado,37,    Health,49193.9
08,Colorado,53,    Transportation,26197.2
08,Colorado,54,      Motor vehicles,7494.7
08,Colorado,73,    Recreation,29840.2
08,Colorado,95,    Education,5379
08,Colorado,96,      Educational books,60.5
08,Colorado,97,      Higher education,3068
08,Colorado,98,"      Nursery, elementary, and secondary schools",871.3
08,Colorado,99,      Commercial and vocational schools,1379.2
08,Colorado,100,    Food services and accommodations,22092.3
08,Colorado,127,      Tobacco,2033.2
09,Connecticut,4,      Food and nonalcoholic beverages purchased for off-premises consumption,10580.9
09,Connecticut,5,      Alcoholic beverages purchased for off-premises consumption,1590.2
09,Connecticut,7,"    Clothing, footwear, and related services",4799
09,Connecticut,18,"    Housing, utilities, and fuels",31875.6
09,Connecticut,37,    Health,38483.8
09,Connecticut,53,    Transportation,15335.7
09,Connecticut,54,      Motor vehicles,4428.3
09,Connecticut,73,    Recreation,15428.5
09,Connecticut,95,    Education,5657.2
09,Connecticut,96,      Educational books,319.9
09,Connecticut,97,      Higher education,3696.6
09,Connecticut,98,"      Nursery, elementary, and secondary schools",808.7
09,Connecticut,99,      Commercial and vocational schools,832.1
09,Connecticut,100,    Food services and accommodations,10928.6
09,Connecticut,127,      Tobacco,868.6
10,Delaware,4,      Food and nonalcoholic beverages purchased for off-premises consumption,2679
10,Delaware,5,      Alcoholic beverages purchased for off-premises consumption,420.7
10,Delaware,7,"    Clothing, footwear, and related services",1302.4
10,Delaware,18,"    Housing, utilities, and fuels",8398.2
10,Delaware,37,    Health,10526.4
10,Delaware,53,    Transportation,4131.6
10,Delaware,54,      Motor vehicles,1705.3
10,Delaware,73,    Recreation,3513.7
10,Delaware,95,    Education,1214.7
10,Delaware,96,      Educational books,32.4
10,Delaware,97,      Higher education,772.6
10,Delaware,98,"      Nursery, elementary, and secondary schools",180.9
10,Delaware,99,      Commercial and vocational schools,228.9
10,Delaware,100,    Food services and accommodations,3190.7
10,Delaware,127,      Tobacco,321
11,District of Columbia,4,      Food and nonalcoholic beverages purchased for off-premises consumption,3240.2
11,District of Columbia,5,      Alcoholic beverages purchased for off-premises consumption,570.2
11,District of Columbia,7,"    Clothing, footwear, and related services",1736.7
11,District of Columbia,18,"    Housing, utilities, and fuels",7742.6
11,District of Columbia,37,    Health,9406.4
11,District of Columbia,53,    Transportation,4369.7
11,District of Columbia,54,      Motor vehicles,1016.3
11,District of Columbia,73,    Recreation,3363.6
11,District of Columbia,95,    Education,909.9
11,District of Columbia,96,      Educational books,115.8
11,District of Columbia,97,      Higher education,408.9
11,District of Columbia,98,"      Nursery, elementary, and secondary schools",246.6
11,District of Columbia,99,      Commercial and vocational schools,138.6
11,District of Columbia,100,    Food services and accommodations,4016.2
11,District of Columbia,127,      Tobacco,115.4
12,Florida,4,      Food and nonalcoholic beverages purchased for off-premises consumption,62202.5
12,Florida,5,      Alcoholic beverages purchased for off-premises consumption,10229.8
12,Florida,7,"    Clothing, footwear, and related services",23169.8
12,Florida,18,"    Housing, utilities, and fuels",192694.3
12,Florida,37,    Health,188398.1
12,Florida,53,    Transportation,82852.3
12,Florida,54,      Motor vehicles,29805.3
12,Florida,73,    Recreation,88636.6
12,Florida,95,    Education,14306
12,Florida,96,      Educational books,578.9
12,Florida,97,      Higher education,6242.3
12,Florida,98,"      Nursery, elementary, and secondary schools",2687.2
12,Florida,99,      Commercial and vocational schools,4797.6
12,Florida,100,    Food services and accommodations,75245.8
12,Florida,127,      Tobacco,6726.8
13,Georgia,4,      Food and nonalcoholic beverages purchased for off-premises consumption,28655.7
13,Georgia,5,      Alcoholic beverages purchased for off-premises consumption,4689.7
13,Georgia,7,"    Clothing, footwear, and related services",12674
13,Georgia,18,"    Housing, utilities, and fuels",74116.8
13,Georgia,37,    Health,87186.1
13,Georgia,53,    Transportation,45135
13,Georgia,54,      Motor vehicles,15011.6
13,Georgia,73,    Recreation,37022.2
13,Georgia,95,    Education,8380.5
13,Georgia,96,      Educational books,87.7
13,Georgia,97,      Higher education,5187.3
13,Georgia,98,"      Nursery, elementary, and secondary schools",1601
13,Georgia,99,      Commercial and vocational schools,1504.5
13,Georgia,100,    Food services and accommodations,29964
13,Georgia,127,      Tobacco,3131.5
15,Hawaii,4,      Food and nonalcoholic beverages purchased for off-premises consumption,4895.4
15,Hawaii,5,      Alcoholic beverages purchased for off-premises consumption,884.9
15,Hawaii,7,"    Clothing, footwear, and related services",2183.6
15,Hawaii,18,"    Housing, utilities, and fuels",14013.5
15,Hawaii,37,    Health,13082.4
15,Hawaii,53,    Transportation,5095
15,Hawaii,54,      Motor vehicles,1736.1
15,Hawaii,73,    Recreation,4906
15,Hawaii,95,    Education,1357.5
15,Hawaii,96,      Educational books,12.5
15,Hawaii,97,      Higher education,923.5
15,Hawaii,98,"      Nursery, elementary, and secondary schools",198.4
15,Hawaii,99,      Commercial and vocational schools,223
15,Hawaii,100,    Food services and accommodations,5114.3
15,Hawaii,127,      Tobacco,560.7
16,Idaho,4,      Food and nonalcoholic beverages purchased for off-premises consumption,4704.2
16,Idaho,5,      Alcoholic beverages purchased for off-premises consumption,640.7
16,Idaho,7,"    Clothing, footwear, and related services",1603.1
16,Idaho,18,"    Housing, utilities, and fuels",12021.8
16,Idaho,37,    Health,14091.2
16,Idaho,53,    Transportation,6883.7
16,Idaho,54,      Motor vehicles,2287.1
16,Idaho,73,    Recreation,5908.8
16,Idaho,95,    Education,1191.1
16,Idaho,96,      Educational books,7.1
16,Idaho,97,      Higher education,786.4
16,Idaho,98,"      Nursery, elementary, and secondary schools",186.2
16,Idaho,99,      Commercial and vocational schools,211.4
16,Idaho,100,    Food services and accommodations,4246.7
16,Idaho,127,      Tobacco,462.5
17,Illinois,4,      Food and nonalcoholic beverages purchased for off-premises consumption,32561.1
17,Illinois,5,      Alcoholic beverages purchased for off-premises consumption,4854.1
17,Illinois,7,"    Clothing, footwear, and related services",17364.3
17,Illinois,18,"    Housing, utilities, and fuels",96342
17,Illinois,37,    Health,116388.3
17,Illinois,53,    Transportation,53694.1
17,Illinois,54,      Motor vehicles,15590.5
17,Illinois,73,    Recreation,50312.6
17,Illinois,95,    Education,15992.6
17,Illinois,96,      Educational books,398.5
17,Illinois,97,      Higher education,11031.7
17,Illinois,98,"      Nursery, elementary, and secondary schools",2515
17,Illinois,99,      Commercial and vocational schools,2047.4
17,Illinois,100,    Food services and accommodations,38929.4
17,Illinois,127,      Tobacco,4105.7
18,Indiana,4,      Food and nonalcoholic beverages purchased for off-premises consumption,17589.9
18,Indiana,5,      Alcoholic beverages purchased for off-premises consumption,2554.4
18,Indiana,7,"    Clothing, footwear, and related services",7078.4
18,Indiana,18,"    Housing, utilities, and fuels",44284.3
18,Indiana,37,    Health,65815
18,Indiana,53,    Transportation,26139.8
18,Indiana,54,      Motor vehicles,9258.5
18,Indiana,73,    Recreation,19729.9
18,Indiana,95,    Education,5001.3
18,Indiana,96,      Educational books,266.9
18,Indiana,97,      Higher education,3357.4
18,Indiana,98,"      Nursery, elementary, and secondary schools",844
18,Indiana,99,      Commercial and vocational schools,532.9
18,Indiana,100,    Food services and accommodations,16704.4
18,Indiana,127,      Tobacco,2393.2
19,Iowa,4,      Food and nonalcoholic beverages purchased for off-premises consumption,7674
19,Iowa,5,      Alcoholic beverages purchased for off-premises consumption,1293.6
19,Iowa,7,"    Clothing, footwear, and related services",3062.8
19,Iowa,18,"    Housing, utilities, and fuels",21568.2
19,Iowa,37,    Health,26366.2
19,Iowa,53,    Transportation,14478.5
19,Iowa,54,      Motor vehicles,5483
19,Iowa,73,    Recreation,10308.8
19,Iowa,95,    Education,2305
19,Iowa,96,      Educational books,85.6
19,Iowa,97,      Higher education,1485
19,Iowa,98,"      Nursery, elementary, and secondary schools",480.7
19,Iowa,99,      Commercial and vocational schools,253.8
19,Iowa,100,    Food services and accommodations,7262.9
19,Iowa,127,      Tobacco,1143.2
20,Kansas,4,      Food and nonalcoholic beverages purchased for off-premises consumption,8465.7
20,Kansas,5,      Alcoholic beverages purchased for off-premises consumption,1149.7
20,Kansas,7,"    Clothing, footwear, and related services",2867.8
20,Kansas,18,"    Housing, utilities, and fuels",19513.4
20,Kansas,37,    Health,25236.2
20,Kansas,53,    Transportation,11305
20,Kansas,54,      Motor vehicles,4248.5
20,Kansas,73,    Recreation,8434.9
20,Kansas,95,    Education,2545.2
20,Kansas,96,      Educational books,91
20,Kansas,97,      Higher education,1578.1
20,Kansas,98,"      Nursery, elementary, and secondary schools",433.3
20,Kansas,99,      Commercial and vocational schools,442.9
20,Kansas,100,    Food services and accommodations,6789
20,Kansas,127,      Tobacco,771.2
21,Kentucky,4,      Food and nonalcoholic beverages purchased for off-premises consumption,12881
21,Kentucky,5,      Alcoholic beverages purchased for off-premises consumption,1695
21,Kentucky,7,"    Clothing, footwear, and related services",4131.6
21,Kentucky,18,"    Housing, utilities, and fuels",27250
21,Kentucky,37,    Health,40671.4
21,Kentucky,53,    Transportation,15587.4
21,Kentucky,54,      Motor vehicles,5698.4
21,Kentucky,73,    Recreation,12083.8
21,Kentucky,95,    Education,3270
21,Kentucky,96,      Educational books,135.3
21,Kentucky,97,      Higher education,2271.3
21,Kentucky,98,"      Nursery, elementary, and secondary schools",558.4
21,Kentucky,99,      Commercial and vocational schools,305.2
21,Kentucky,100,    Food services and accommodations,10617.5
21,Kentucky,127,      Tobacco,2123.7
22,Louisiana,4,      Food and nonalcoholic beverages purchased for off-premises consumption,11909.7
22,Louisiana,5,      Alcoholic beverages purchased for off-premises consumption,1799.4
22,Louisiana,7,"    Clothing, footwear, and related services",5118
22,Louisiana,18,"    Housing, utilities, and fuels",29947.8
22,Louisiana,37,    Health,42668.6
22,Louisiana,53,    Transportation,17903
22,Louisiana,54,      Motor vehicles,7342.7
22,Louisiana,73,    Recreation,11754.3
22,Louisiana,95,    Education,3320.6
22,Louisiana,96,      Educational books,9
22,Louisiana,97,      Higher education,2263.3
22,Louisiana,98,"      Nursery, elementary, and secondary schools",575.8
22,Louisiana,99,      Commercial and vocational schools,472.5
22,Louisiana,100,    Food services and accommodations,13451.9
22,Louisiana,127,      Tobacco,1653.6
23,Maine,4,      Food and nonalcoholic beverages purchased for off-premises consumption,4500.8
23,Maine,5,      Alcoholic beverages purchased for off-premises consumption,704.1
23,Maine,7,"    Clothing, footwear, and related services",1385.2
23,Maine,18,"    Housing, utilities, and fuels",11288
23,Maine,37,    Health,13799.6
23,Maine,53,    Transportation,6071.9
23,Maine,54,      Motor vehicles,2064.8
23,Maine,73,    Recreation,5316.4
23,Maine,95,    Education,1289.6
23,Maine,96,      Educational books,42.9
23,Maine,97,      Higher education,878.6
23,Maine,98,"      Nursery, elementary, and secondary schools",219.1
23,Maine,99,      Commercial and vocational schools,149
23,Maine,100,    Food services and accommodations,4374.7
23,Maine,127,      Tobacco,650.5
24,Maryland,4,      Food and nonalcoholic beverages purchased for off-premises consumption,14884.1
24,Maryland,5,      Alcoholic beverages purchased for off-premises consumption,2493.7
24,Maryland,7,"    Clothing, footwear, and related services",7872.2
24,Maryland,18,"    Housing, utilities, and fuels",55547.6
24,Maryland,37,    Health,59283.2
24,Maryland,53,    Transportation,23567.5
24,Maryland,54,      Motor vehicles,7684.7
24,Maryland,73,    Recreation,24309.3
24,Maryland,95,    Education,7312.4
24,Maryland,96,      Educational books,417.4
24,Maryland,97,      Higher education,4339
24,Maryland,98,"      Nursery, elementary, and secondary schools",1102.9
24,Maryland,99,      Commercial and vocational schools,1453.1
24,Maryland,100,    Food services and accommodations,19378.9
24,Maryland,127,      Tobacco,1481.6
25,Massachusetts,4,      Food and nonalcoholic beverages purchased for off-premises consumption,21522.1
25,Massachusetts,5,      Alcoholic beverages purchased for off-premises consumption,4501.2
25,Massachusetts,7,"    Clothing, footwear, and related services",10112.2
25,Massachusetts,18,"    Housing, utilities, and fuels",65544
25,Massachusetts,37,    Health,80528.1
25,Massachusetts,53,    Transportation,31695.6
25,Massachusetts,54,      Motor vehicles,8535.4
25,Massachusetts,73,    Recreation,35547.5
25,Massachusetts,95,    Education,9298.1
25,Massachusetts,96,      Educational books,279.9
25,Massachusetts,97,      Higher education,6248.6
25,Massachusetts,98,"      Nursery, elementary, and secondary schools",1527.2
25,Massachusetts,99,      Commercial and vocational schools,1242.3
25,Massachusetts,100,    Food services and accommodations,26474.7
25,Massachusetts,127,      Tobacco,2115.5
26,Michigan,4,      Food and nonalcoholic beverages purchased for off-premises consumption,27564.8
26,Michigan,5,      Alcoholic beverages purchased for off-premises consumption,4246.3
26,Michigan,7,"    Clothing, footwear, and related services",10891.7
26,Michigan,18,"    Housing, utilities, and fuels",74064
26,Michigan,37,    Health,90368
26,Michigan,53,    Transportation,36009.1
26,Michigan,54,      Motor vehicles,11617.8
26,Michigan,73,    Recreation,32477.8
26,Michigan,95,    Education,9189
26,Michigan,96,      Educational books,195.2
26,Michigan,97,      Higher education,6601.6
26,Michigan,98,"      Nursery, elementary, and secondary schools",1256.7
26,Michigan,99,      Commercial and vocational schools,1135.6
26,Michigan,100,    Food services and accommodations,24813.7
26,Michigan,127,      Tobacco,3727.8
27,Minnesota,4,      Food and nonalcoholic beverages purchased for off-premises consumption,13531.5
27,Minnesota,5,      Alcoholic beverages purchased for off-premises consumption,2792.9
27,Minnesota,7,"    Clothing, footwear, and related services",6769.5
27,Minnesota,18,"    Housing, utilities, and fuels",45889.2
27,Minnesota,37,    Health,57221.6
27,Minnesota,53,    Transportation,24940.7
27,Minnesota,54,      Motor vehicles,9109.1
27,Minnesota,73,    Recreation,24765.1
27,Minnesota,95,    Education,6105.9
27,Minnesota,96,      Educational books,222.8
27,Minnesota,97,      Higher education,3976.7
27,Minnesota,98,"      Nursery, elementary, and secondary schools",977.7
27,Minnesota,99,      Commercial and vocational schools,928.7
27,Minnesota,100,    Food services and accommodations,14840.7
27,Minnesota,127,      Tobacco,1580.5
28,Mississippi,4,      Food and nonalcoholic beverages purchased for off-premises consumption,7635.9
28,Mississippi,5,      Alcoholic beverages purchased for off-premises consumption,917.6
28,Mississippi,7,"    Clothing, footwear, and related services",3015
28,Mississippi,18,"    Housing, utilities, and fuels",16775.2
28,Mississippi,37,    Health,25140.3
28,Mississippi,53,    Transportation,9669.6
28,Mississippi,54,      Motor vehicles,3628
28,Mississippi,73,    Recreation,6257.9
28,Mississippi,95,    Education,1948.2
28,Mississippi,96,      Educational books,10.3
28,Mississippi,97,      Higher education,1439.2
28,Mississippi,98,"      Nursery, elementary, and secondary schools",354.8
28,Mississippi,99,      Commercial and vocational schools,143.9
28,Mississippi,100,    Food services and accommodations,6527.8
28,Mississippi,127,      Tobacco,884.4
29,Missouri,4,      Food and nonalcoholic beverages purchased for off-premises consumption,15163.2
29,Missouri,5,      Alcoholic beverages purchased for off-premises consumption,2322.5
29,Missouri,7,"    Clothing, footwear, and related services",6307.4
29,Missouri,18,"    Housing, utilities, and fuels",41368.9
29,Missouri,37,    Health,57538.6
29,Missouri,53,    Transportation,26659.7
29,Missouri,54,      Motor vehicles,9077.2
29,Missouri,73,    Recreation,21088.6
29,Missouri,95,    Education,5012.5
29,Missouri,96,      Educational books,326.9
